"lon","lat","x","y","UE","UN"
-117.53,33.711,4.5089e+05,3.7302e+06,-24.89,28.36
-117.75,33.765,4.3055e+05,3.7364e+06,-27.08,27.55
-117.66,33.806,4.3891e+05,3.7408e+06,-25.39,27.16
-117.86,33.863,4.2045e+05,3.7473e+06,-25.6,25.35
-118.06,33.917,4.0201e+05,3.7535e+06,-25.67,25.71
-117.93,33.927,4.1404e+05,3.7545e+06,-25.83,26.72
-117.89,33.955,4.1777e+05,3.7575e+06,-23.32,26.41
-117.65,33.85,4.3987e+05,3.7457e+06,-25.02,27.08
-117.65,33.849,4.3987e+05,3.7456e+06,-24.45,27.09
-117.6,33.847,4.4449e+05,3.7454e+06,-24.55,26.37
-117.44,33.857,4.593e+05,3.7464e+06,-23.13,25.54
-117.55,33.884,4.4914e+05,3.7494e+06,-23.9,26.09
-117.47,33.871,4.5653e+05,3.748e+06,-23.5,25.77
-117.74,33.914,4.3159e+05,3.7529e+06,-24.76,26.27
-117.74,33.914,4.3159e+05,3.7529e+06,-24.9,25.88
-117.56,33.935,4.4825e+05,3.7551e+06,-21.59,26.39
-117.22,33.714,4.7962e+05,3.7305e+06,-24.33,25.97
-117.23,33.718,4.7869e+05,3.7309e+06,-24.38,25.68
-117.12,33.724,4.8888e+05,3.7316e+06,-23.31,25.44
-117.32,33.798,4.7038e+05,3.7398e+06,-23.76,25.2
-117.23,33.796,4.7871e+05,3.7396e+06,-22.27,25.46
-117.07,33.823,4.9352e+05,3.7425e+06,-22.17,24.01
-116.78,33.794,5.2037e+05,3.7393e+06,-14.65,20.08
-116.78,33.794,5.2037e+05,3.7393e+06,-14.14,23.03
-117.31,33.837,4.7132e+05,3.7441e+06,-22.68,25.85
-117.18,33.836,4.8335e+05,3.744e+06,-21.22,23.99
-117.19,33.874,4.8243e+05,3.7482e+06,-22.91,24.53
-117.32,33.918,4.7042e+05,3.7531e+06,-21.78,25.38
-117.11,33.956,4.8984e+05,3.7573e+06,-20.16,21.36
-116.83,33.844,5.1573e+05,3.7449e+06,-16.81,19.85
-117,33.908,5e+05,3.752e+06,-19,20.3
-116.78,33.916,5.2034e+05,3.7529e+06,-12.44,24.8
-118.09,33.962,3.9929e+05,3.7585e+06,-29.51,30.45
-118,33.992,4.0764e+05,3.7617e+06,-24.39,24.88
-118.03,34.019,4.049e+05,3.7647e+06,-25.52,25.96
-117.85,33.993,4.215e+05,3.7617e+06,-24.55,25.93
